"proposed_use","existing_construction_type","status_date","proposed_units","proposed_construction_type","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","completed_date","lot","unit_suffix","filed_date","fire_only_permit","issued_date","plansets","structural_notification","block","application_submission_method","point_source","site_permit","number_of_existing_stories","number_of_proposed_stories","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","proposed_construction_type_description","unit","adu","estimated_cost","street_number","existing_use","existing_units","location","street_number_suffix","status","existing_construction_type_description"
"2 family dwelling","5","2023-09-07T15:35:41.000","2","5","202309076137","R-3","2023-09-08T04:14:49.000","in-kind remodeling of 1 bathroom(s) in 1st fl with 1 shower pan(s).","Y","15400","23rd","8","St","","023","","2023-09-07T15:34:21.000","","2023-09-07T15:35:41.000","0","","2802","website","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Noe Valley","R-3","otc alterations permit","2023-09-07T15:34:22.000","8","2023-09-07T15:34:21.000","94114","1677797144561","wood frame (5)","","N","15400","4378","2 family dwelling","2","{""coordinates"":[-122.440264569,37.752774715],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-07T15:44:26.000","3","5","202309076102","R-2","2023-09-08T04:14:49.000","apt 1: replace 2 full frame patio door and 4 window inserts in (e) frame. new fiberglass.","Y","19000","Pierce","2","St","","031","","2023-09-07T12:27:24.000","","2023-09-07T15:44:26.000","0","","0680","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Pacific Heights","R-2","otc alterations permit","2023-09-07T15:21:16.000","8","2023-09-07T12:27:23.000","94115","1677757289065","wood frame (5)","1","N","19000","1715","apartments","3","{""coordinates"":[-122.436867151,37.785953463],""type"":""Point""}","","issued","wood frame (5)"
"1 family dwelling","5","2023-09-07T15:43:13.000","1","5","202309076101","R-3","2023-09-08T04:14:49.000","replace 1 window in-kind. new vinyl. 2 doors in kind. new fiberglass on lower level at rear. not street visible.","Y","14361","Wawona","7","St","","028","","2023-09-07T12:25:12.000","","2023-09-07T15:43:13.000","0","","2482","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-07T15:22:20.000","8","2023-09-07T12:25:12.000","94127","1677756137861","wood frame (5)","","N","14361","320","1 family dwelling","1","{""coordinates"":[-122.470170056,37.738394249],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","","2023-09-07T10:40:22.000","2","5","202309076076","R-3","2023-09-08T04:14:49.000","new underground for combo system in new single family dwelling & adu","Y","0","Head","11","St","","048","","2023-09-07T10:40:22.000","Y","","2","","7116","in-house","parcel_centroid","","","3","2023-09-07T23:55:00.000","Oceanview/Merced/Ingleside","","otc alterations permit","2023-09-07T10:44:47.000","8","2023-09-07T10:40:22.000","94132","1677729517986","wood frame (5)","","N","4000","352","","","{""coordinates"":[-122.464115134,37.713454263],""type"":""Point""}","","filed",""
"apartments","5","2023-09-07T13:38:12.000","6","5","202309076073","R-2","2023-09-08T04:14:49.000","upgrade existing fire alarm system to comply with sffc section 1103.7.6.1, ref sprinkler# 9501730","Y","26000","Fillmore","2","St","","056","","2023-09-07T10:30:45.000","Y","2023-09-07T13:38:12.000","2","","0581","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","Pacific Heights","R-2","otc alterations permit","2023-09-07T13:35:54.000","8","2023-09-07T10:30:45.000","94115","1677726256212","wood frame (5)","1","N","26000","2632","apartments","6","{""coordinates"":[-122.434597841,37.793867617],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-07T09:48:55.000","4","5","202309076065","R-2","2023-09-08T04:14:49.000","unit 670 capp st. remodel (e) bathroom, kitchen, laudnry and replace (e) water heater.","Y","84200","Capp","9","St","","080","","2023-09-07T09:48:55.000","","","2","","3615","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Mission","R-2","otc alterations permit","2023-09-07T13:19:17.000","8","2023-09-07T00:00:00.000","94110","1677719465550","wood frame (5)","","N","45000","670","apartments","4","{""coordinates"":[-122.417956069,37.756032658],""type"":""Point""}","","filed","wood frame (5)"
"apartments","5","2023-09-07T16:04:30.000","3","5","202309076141","R-2","2023-09-08T04:14:49.000","rear bldg: revision to permit 202305026932. remove plaster in living room, sun room and one bedroom wall and ceiling. replace with sheet rock, min 5/8 type x gyp bd. all work at 1431 jackson units.","Y","6000","Jackson","3","St","","023","","2023-09-07T15:59:39.000","","2023-09-07T16:04:30.000","0","","0186","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Russian Hill","R-2","otc alterations permit","2023-09-07T16:01:08.000","8","2023-09-07T00:00:00.000","94109","1677801382248","wood frame (5)","","N","5000","1431","apartments","3","{""coordinates"":[-122.418606405,37.794240846],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-09-07T15:06:03.000","2","5","202309076119","R-3","2023-09-08T04:14:49.000","repair penthouse walls- water leak. we will do demolition or extg stucco and re waterproof everything again and apply 3 new coats of stucco.","Y","35000","Funston","1","Av","","051","","2023-09-07T13:58:18.000","","2023-09-07T15:06:03.000","0","","1421","in-house","parcel_centroid","","3","3","2023-09-07T23:55:00.000","Inner Richmond","R-3","otc alterations permit","2023-09-07T14:59:01.000","8","2023-09-07T00:00:00.000","94118","1677775472219","wood frame (5)","0","N","35000","222","2 family dwelling","2","{""coordinates"":[-122.471687923,37.784005433],""type"":""Point""}","","issued","wood frame (5)"
"2 family dwelling","5","2023-09-07T09:10:36.000","2","5","202309076044","R-3","2023-09-08T04:14:49.000","reroofing","Y","25800","Taraval","4","St","","037","","2023-09-07T08:09:17.000","","2023-09-07T09:10:36.000","0","","2401","in-house","parcel_centroid","","2","2","2023-09-07T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-09-07T08:58:52.000","8","2023-09-07T00:00:00.000","94116","1677696134528","wood frame (5)","","N","25800","1445","2 family dwelling","2","{""coordinates"":[-122.4818267,37.742532697],""type"":""Point""}","","issued","wood frame (5)"
"apartments","5","2023-09-07T15:24:30.000","4","5","202309076134","R-2","2023-09-08T04:14:49.000","response to sf planning notice of violation (#2021-007096enf). consolidate previously issued permits (#2012-0104-1711, 2012-0518-0809, 2012-0911-9462, 2016-809-4586, 2017-1107-3317 & 2018-0320-4094)as well as legalize additional un-permitted work done by previous owner(s),","Y","","Chestnut","3","St","","001C","","2023-09-07T15:24:30.000","","","2","","0061","in-house","parcel_centroid","","4","4","2023-09-07T23:55:00.000","North Beach","R-2","additions alterations or repairs","2023-09-07T15:40:07.000","3","2023-09-07T00:00:00.000","94133","1677794293120","wood frame (5)","0","N","1","225","apartments","4","{""coordinates"":[-122.407120195,37.80422519],""type"":""Point""}","","filed","wood frame (5)"
